"sub","mapped_any","status_known","status","ts","decompiled_path"
"sub_406ac0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_406AC0.c"
"sub_406ae0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_406AE0.c"
"sub_406c20","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_406C20.c"
"sub_406d10","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_406D10.c"
"sub_407060","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_407060.c"
"sub_4075c0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4075C0.c"
"sub_4077d0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4077D0.c"
"sub_4079c0","yes","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4079C0.c"
"sub_407ad0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_407AD0.c"
"sub_407b10","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_407B10.c"
"sub_407b60","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_407B60.c"
"sub_407b90","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_407B90.c"
"sub_407bb0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_407BB0.c"
"sub_407eb0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_407EB0.c"
"sub_408060","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408060.c"
"sub_408130","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408130.c"
"sub_4081f0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4081F0.c"
"sub_408240","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408240.c"
"sub_4082f0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4082F0.c"
"sub_408450","yes","yes","✅ (~92%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408450.c"
"sub_408470","yes","yes","🟡 (~88%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408470.c"
"sub_4084f0","yes","yes","✅ (~92%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4084F0.c"
"sub_408590","yes","yes","✅ (~95%)","math/Vec3Sub40xPrimitives.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408590.c"
"sub_4085b0","yes","yes","✅ (~90%)","math/Vec3Sub40xPrimitives.ts`, `growth/perFramePhysicsSub4143E0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4085B0.c"
"sub_408600","yes","yes","🟡 (~85%)","config/IniRegistrySub408600.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408600.c"
"sub_4086f0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4086F0.c"
"sub_408700","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408700.c"
"sub_408850","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408850.c"
"sub_408880","yes","yes","🟡","GrowthController.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408880.c"
"sub_408a30","yes","yes","🟡 (~70%)","GrowthService.ts`, `GrowthController.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408A30.c"
"sub_408d60","yes","yes","🟡 (~75%)","GrowthService.ts`, `GrowthFramePipeline.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_408D60.c"
"sub_409130","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_409130.c"
"sub_4093b0","yes","yes","🔶 (~50%)","GeometryService.ts`, `TreeSection.ts` (радиусы/сегменты)","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_4093B0.c"
"sub_409910","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_409910.c"
"sub_40a0e0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40A0E0.c"
"sub_40a200","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40A200.c"
"sub_40a310","yes","yes","✅ (~90%)","world/SectionSpatialQueriesSub40x.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40A310.c"
"sub_40a320","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40A320.c"
"sub_40a440","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40A440.c"
"sub_40a8b0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40A8B0.c"
"sub_40ac70","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40AC70.c"
"sub_40b380","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40B380.c"
"sub_40b740","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40B740.c"
"sub_40bb50","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40BB50.c"
"sub_40c320","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40C320.c"
"sub_40cab0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40CAB0.c"
"sub_40cba0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40CBA0.c"
"sub_40cc70","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40CC70.c"
"sub_40cd30","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40CD30.c"
"sub_40ce80","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40CE80.c"
"sub_40cf00","yes","yes","✅ (~92%)","math/Vec3Sub40xPrimitives.ts`, `growth/perFramePhysicsSub4143E0.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40CF00.c"
"sub_40cfa0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40CFA0.c"
"sub_40d0b0","yes","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D0B0.c"
"sub_40d1a0","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D1A0.c"
"sub_40d230","no","no","","","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D230.c"
"sub_40d610","yes","yes","🟡 (~90%)","growth/lightTracingSub40E460.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D610.c"
"sub_40d6c0","yes","yes","✅ (~90%)","world/SectionSpatialQueriesSub40x.ts","C:\Users\pr\Downloads\GoBonsaiSetup\decompiled\sub_40D6C0.c"
