"sub","mapped_any","status_known","status","ts","reachable_from_runtime","runtime_depth","phase","priority_score","direct_callers","direct_mapped_callers","direct_runtime_callers","total_call_sites","mapped_call_sites","caller_sample"
"sub_427ec0","no","no","","","no","","P3-unreached","8","6","0","0","8","0","sub_41dd60, sub_41e880, sub_4208d0, sub_4267b0, sub_4268e0, sub_43ac20"
"sub_42fd50","no","no","","","no","","P3-unreached","8","2","0","0","8","0","sub_403c50, sub_438b90"
"sub_447780","no","no","","","no","","P3-unreached","8","8","0","0","8","0","sub_4458e0, sub_445bd0, sub_445d60, sub_445ee0, sub_446040, sub_4461a0, sub_446300, sub_446730"
"sub_44d8e0","no","no","","","no","","P3-unreached","8","8","0","0","8","0","sub_443460, sub_443610, sub_4437f0, sub_4439a0, sub_443b80, sub_443d30, sub_443ee0, sub_44bfe0"
"sub_4197d0","no","no","","","no","","P3-unreached","7","2","0","0","7","0","sub_41d000, sub_422750"
"sub_41b820","no","no","","","no","","P3-unreached","7","5","0","0","7","0","sub_41d000, sub_4208d0, sub_422750, sub_434e10, sub_4392b0"
"sub_4302a0","no","no","","","no","","P3-unreached","7","6","0","0","7","0","sub_4329b0, sub_432d30, sub_433170, sub_433860, sub_434800, sub_435d40"
"sub_434da0","no","no","","","no","","P3-unreached","7","3","0","0","7","0","sub_433860, sub_434e10, sub_4350d0"
"sub_44b280","no","no","","","no","","P3-unreached","7","7","0","0","7","0","sub_4426b0, sub_4428a0, sub_442ab0, sub_442ca0, sub_442e90, sub_443080, sub_443270"
"sub_44b3d0","no","no","","","no","","P3-unreached","7","7","0","0","7","0","sub_443460, sub_443610, sub_4437f0, sub_4439a0, sub_443b80, sub_443d30, sub_443ee0"
"sub_44b520","no","no","","","no","","P3-unreached","7","7","0","0","7","0","sub_444ff0, sub_4458e0, sub_446c70, sub_4473b0, sub_447780, sub_447d10, sub_449180"
"sub_44c9e0","no","no","","","no","","P3-unreached","7","7","0","0","7","0","sub_448da0, sub_448eb0, sub_44a2d0, sub_44a3b0, sub_44c760, sub_44c850, sub_44cb90"
"sub_44f3f0","no","no","","","no","","P3-unreached","7","1","0","0","7","0","sub_412510"
"sub_44f480","no","no","","","no","","P3-unreached","7","1","0","0","7","0","sub_412510"
"sub_41a3a0","no","no","","","no","","P3-unreached","6","1","0","0","6","0","sub_41dd60"
"sub_41b490","no","no","","","no","","P3-unreached","6","3","0","0","6","0","sub_41d000, sub_41e880, sub_4267b0"
"sub_41b550","no","no","","","no","","P3-unreached","6","4","0","0","6","0","sub_41d000, sub_41f5a0, sub_421960, sub_422750"
"sub_41f640","no","no","","","no","","P3-unreached","6","6","0","0","6","0","sub_41ba60, sub_41e880, sub_421960, sub_42b4f0, sub_42c1d0, sub_4392b0"
